class,pos,lemmata
belofte,v,"beloof,stel_voor,zeg_toe,zweer"
belofte,n,"belofte,toezegging,afspraak,gelofte,erewoord,overeenkomst,verbond,verbintenis,regeling,verdrag,akkoord,contract,convenant,regeerakkoord,conventie"
bijzin,p,"die,dat,welke,dewelke"
copula,v,"ben,blijf,blijk,heet,lijk,schijn,word"
determiner,p,"de,het,een,dit,dat,deze,die"
die,o,"die, dat"
doel,p,"met_het_oog_op,om,omwille,opdat,zodat,waardoor,teneinde,voor"
draai,p,"krijg,ontvang"
equiv,v,"duid_aan,duid,karakteriseer,kenschets"
goal,n,"bedoeling,bestemming,bijbedoeling,bijgedachte,doel,doeleinde,doelstelling,doelwit,doelwit,einddoel,hoofddoel,intentie,levensdoel,mikpunt,nevendoel,oogmerk,oogmerk,opzet,plan,strekking,streven,tussendoel,voornemen,voorstel"
mening,n,"aankondiging,aanwijzing,achtergrondinformatie,affirmatie,anekdote,argument,argumentatie,assertie,begripsbepaling,bekendmaking,bekentenis,belijdenis,beoordeling,bericht,bescheid,betoog,bevestiging,bevinding,beweegreden ,bewering,bewijsvoering,bezegeling,biecht,boodschap,communicatie,communis opinio,conclusie,consequentie,constatering,convictie,denkbeeld,dienstbericht,dienstmededeling,diepte-informatie,dispositie,droombeeld,drijfveer,eed,eindconclusie,eindindruk,eindmening,eindoordeel,erkentenis,expressie,geest,geheim,gelukstijding,gerucht,geste,getuigenis,gevoel,gevoelen,gevolgtrekking,gezichtspunt,gimmick,herinnering,hoofdargument,hoofdconclusie,impuls,indicatie,indruk,info,informatie,inlichting,inside-informatie,intuitie,jobspost,jobstijding,kreet,legende,levensbiecht,lezing,mare,mededeling,melding,meineed,melding,mening,motivering,nieuws,nieuwstijding,nieuwtje,notificatie,observatie,ondervinden,oordeel,openbaarmaking,openbaring,opinie,opmerking,opstelling,opvatting,overtuiging,overweging,pleidooi,pleitrede,positie,predictie,proclamatie,profetie,punt,rede,reden,redenering,relaas,repliek,revelatie,schuldbekentenis,schuldbelijdenis,slogan,slotbepaling,slotconclusie,slotindruk,slotsom,soundbite,spoedboodschap,standpunt,staving,stelling,stellingname,stokpaardje,suggestie,tegenbericht,tijding,tip,topic,totaalindruk,treurmare,uitdrukking,uiting,uitleg,uitspraak,verdediging,vergezicht,verhaal,verhandeling,verklaring,vertelling,vertolking,verwijzing,verwoording,verzekering,vingerwijzing,visie,volksovertuiging,voorspelling,voorstellingswijze,waarneming,weerwoord,wending,wereldopinie,woord,zienswijze,zinsnede,zinsuiting,abstractie,axioma,bedenksel,beginsel,benul,bewijs,bijgedachte,brainwave,concept,conceptie,deductie,denkbeeld,denkpatroon,denkrichting,denktrant,denkwereld,denkwijze,droom,feit,gedachte,gedachtegang,gedachteloop,gedachtesprong,gegeven,geloof,gril,grondbeginsel,grondbegrip,grondbeschouwing,grondgedachte,grondregel,grondstelling,hoofdlijn,idee,inductie,intellect,inval,inzicht,kerngedachte,maxime,notie,onderstelling,overlegging,perspectief,postulaat,premisse,principe,propositie,redenatie,redenering,syllogisme,theorema,uitgangspunt,verbazing,vermoeden,veronderstelling,vertoog,verwondering,vondst,voorgevoel,begeestering,bezieling,emotie,feeling,gevoel,gevoelen,sentiment"
mening,n,"opvatting, mening"
moet,v,"moet,behoor,dien"
niet,p,"geen,geenszins,nauwelijks,nergens,niet,nimmer,nooit,zonder"
ontken,v,"bestrijd,herroep,loochen,negeer,ontken,spreek_tegen,vecht_aan,veronachtzaam,verwaarloos,verwerp,weerleg,weerspreek"
order,v,"adviseer,bedreig,bekoor,beveel,beveel_aan,commandeer,decreteer,drijf,dwing,eis,forceer,gebied,gelast,hits_aan,hits_op,hoop,jaag_aan,lok_aan,maan,maan_aan,mandateer,moedig_aan,ordonneer,por,pres,prikkel,raad_aan,roep_op,spoor_aan,stimuleer,stook,stook_op,verleid,verlok,verorden,verordonneer,verplicht,verzoek,vorder,vuur_aan,wil,zet_aan,zweep_op"
passiefbron,v,"dunk,lijk,kom_voor,schijn_toe,val_op"
persvnw,d,"mijn, hij"
reality,b,"hier,er,het"
verrast,a,"verbaasd,verbouwereerd,verontwaardigd,verrast,versteld"
volgens,p,"volgens,aldus"
Voltooid,v,"doordring,overtuigd,bewust"
vraag,v,"aarzel,bestudeer,bid,dub,filosofeer,smeek,soebat,twijfel,vraag,vraag_na,wacht_af,weifel,zeur"
vraag,n,"aarzeling,geaarzel,geweifel,navraag,onderzoek,probleemstelling,strijdvraag,tweestrijd,twijfel,vraag,vraagstelling,vraagstuk,weifeling"
zeg,v,":,accepteer,antwoord,beaam,bedenk,bedoel,begrijp,beken,beklemtoon,bekrachtig,belijd,beluister,benadruk,bereken,bericht,beschouw,beschrijf,besef,betuig,bevestig,bevroed,beweer,bewijs,bezweer,biecht,brul,concludeer,confirmeer,constateer,debiteer,declareer,demonstreer,denk,draag_uit,email,erken,expliceer,expliciteer,fantaseer,formuleer,geef_aan,geloof,hamer,herinner,houd_vol,kondig_aan,kwetter,licht_toe,maak_bekend,maak_hard,meld,merk,merk_op,motiveer,noem,nuanceer,observeer,onderschrijf,onderstreep,onthul,ontsluier,ontval,ontvouw,oordeel,parafraseer,postuleer,preciseer,presumeer,pretendeer,publiceer,rapporteer,realiseer,redeneer,refereer,reken,roep,roer_aan,ruik,schat,schets,schilder,schreeuw,schrijf,signaleer,snap,snater,specificeer,spreek_uit,staaf,stel,stip_aan,suggereer,tater,teken_aan,toon_aan,twitter,verbaas,verhaal,verklaar,verklap,verkondig,vermoed,veronderstel,verraad,vertel,vertel_na,verwacht,verwittig,verwonder,verzeker,vind,voel,voel_aan,voer,voer_aan,waarschuw,wed,weet,wijs_aan,wind,zeg,zet_uiteen,zie,twitter,
herroep,houd_stil,ontken,lieg,loochen,neem_terug,slik_in,trek_in,veins,verzwijg,verwacht,leg_uit,toon,sneer,herhaal"
zeker,a,"zeker, waarschijnlijk, ongetwijfeld"
pleidooi,n,pleidooi
tijd of middel,p,"tijdens, in, door"
voorstander,n,"voorstander,tegenstander,pleitbezorger"
opstellen,v,stel_op
maatregel,n,maatregel
omschrijven,v,omschrijf
noem,v,noem
